,source,destination
0,fanout-8,fanout-8-db
1,fanout-1,fanout-1-db
2,fanout-12,fanout-12-db
3,fanout-14,fanout-14-db
4,fanout-2,fanout-2-db
5,fanout-3,fanout-3-db
6,fanout-4,fanout-4-db
7,fanout-7,fanout-7-db
8,fanout-10,fanout-10-db
9,fanout-11,fanout-11-db
10,fanout-13,fanout-13-db
11,fanout-15,fanout-15-db
12,fanout-5,fanout-5-db
13,fanout-6,fanout-6-db
14,fanout-9,fanout-9-db
15,gateway,fanout-1
16,gateway,fanout-2
17,gateway,fanout-4
18,gateway,fanout-6
19,gateway,fanout-11
20,gateway,fanout-3
21,gateway,fanout-12
22,gateway,fanout-13
23,gateway,fanout-14
24,gateway,fanout-15
25,gateway,fanout-5
26,gateway,fanout-10
27,gateway,fanout-7
28,gateway,fanout-8
29,gateway,fanout-9
30,fanout-8,home-cluster-node1
31,gateway,home-cluster-node3
32,fanout-2-db,home-cluster-node3
33,fanout-4-db,home-cluster-node3
34,fanout-5,home-cluster-node3
35,fanout-6,home-cluster-node2
36,fanout-10,home-cluster-node1
37,fanout-12-db,home-cluster-node1
38,fanout-14,home-cluster-node1
39,fanout-13,home-cluster-node2
40,fanout-2,home-cluster-node2
41,fanout-9,home-cluster-node3
42,fanout-6-db,home-cluster-node1
43,fanout-7-db,home-cluster-node1
44,fanout-8-db,home-cluster-node2
45,fanout-1-db,home-cluster-node3
46,fanout-10-db,home-cluster-node2
47,fanout-12,home-cluster-node3
48,fanout-3,home-cluster-node1
49,fanout-13-db,home-cluster-node1
50,fanout-14-db,home-cluster-node2
51,fanout-4,home-cluster-node2
52,fanout-1,home-cluster-node1
53,fanout-15-db,home-cluster-node2
54,fanout-3-db,home-cluster-node3
55,fanout-9-db,home-cluster-node2
56,fanout-7,home-cluster-node3
57,fanout-11,home-cluster-node2
58,fanout-11-db,home-cluster-node3
59,fanout-15,home-cluster-node1
60,fanout-5-db,home-cluster-node1
